INIZIO_TRIM;FINE_TRIM;CATEGORIA_OPERAZIONI ;CLASSE_IMPORTO;TEGM;SOGLIA 2
01/01/1998;31/03/1998;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;15,12;22,68
01/01/1998;31/03/1998;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 10 milioni di lire;27,07;40,605
01/01/1998;31/03/1998;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 10 milioni di lire;22;33
01/01/1998;31/03/1998;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 10 milioni di lire;21,39;32,085
01/01/1998;31/03/1998;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 10 milioni di lire;17,97;26,955
01/01/1998;31/03/1998;LEASING (fino al 31 dicembre 2009);fino a 10 milioni di lire;22,39;33,585
01/01/1998;31/03/1998;LEASING (fino al 31 dicembre 2009);da 10 a 50 milioni di lire;14,88;22,32
01/01/1998;31/03/1998;LEASING (fino al 31 dicembre 2009);da 50 a 100 milioni di lire;12,74;19,11
01/01/1998;31/03/1998;LEASING (fino al 31 dicembre 2009);oltre 100 milioni di lire;10,42;15,63
01/01/1998;31/03/1998;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);fino a 2,5 milioni di lire;31,27;46,905
01/01/1998;31/03/1998;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);da 2,5 a 10 milioni di lire;22,9;34,35
01/01/1998;31/03/1998;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);oltre 10 milioni di lire;15,52;23,28
01/01/1998;31/03/1998;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;9,48;14,22
01/04/1998;30/06/1998;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 10 milioni di lire;14,3;21,45
01/04/1998;30/06/1998;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 10 milioni di lire;11,52;17,28
01/04/1998;30/06/1998;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 10 milioni di lire;11,16;16,74
01/04/1998;30/06/1998;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 10 milioni di lire;9,34;14,01
01/04/1998;30/06/1998;FACTORING;fino a 100 milioni di lire;11,15;16,725
01/04/1998;30/06/1998;FACTORING;oltre 100 milioni di lire;9,58;14,37
01/04/1998;30/06/1998;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;13,21;19,815
01/04/1998;30/06/1998;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 10 milioni di lire;27,25;40,875
01/04/1998;30/06/1998;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 10 milioni di lire;20,2;30,3
01/04/1998;30/06/1998;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 10 milioni di lire;20,97;31,455
01/04/1998;30/06/1998;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 10 milioni di lire;17,36;26,04
01/04/1998;30/06/1998;LEASING (fino al 31 dicembre 2009);fino a 10 milioni di lire;23,31;34,965
01/04/1998;30/06/1998;LEASING (fino al 31 dicembre 2009);da 10 a 50 milioni di lire;13,55;20,325
01/04/1998;30/06/1998;LEASING (fino al 31 dicembre 2009);da 50 a 100 milioni di lire;11,39;17,085
01/04/1998;30/06/1998;LEASING (fino al 31 dicembre 2009);oltre 100 milioni di lire;8,99;13,485
01/04/1998;30/06/1998;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);fino a 2,5 milioni di lire;29,59;44,385
01/04/1998;30/06/1998;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);da 2,5 a 10 milioni di lire;21,84;32,76
01/04/1998;30/06/1998;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);oltre 10 milioni di lire;14,48;21,72
01/04/1998;30/06/1998;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;8,29;12,435
01/07/1998;30/09/1998;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 10 milioni di lire;14,19;21,285
01/07/1998;30/09/1998;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 10 milioni di lire;11,26;16,89
01/07/1998;30/09/1998;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 10 milioni di lire;10,97;16,455
01/07/1998;30/09/1998;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 10 milioni di lire;9,12;13,68
01/07/1998;30/09/1998;FACTORING;fino a 100 milioni di lire;10,69;16,035
01/07/1998;30/09/1998;FACTORING;oltre 100 milioni di lire;9,32;13,98
01/07/1998;30/09/1998;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;12,99;19,485
01/07/1998;30/09/1998;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 10 milioni di lire;26,96;40,44
01/07/1998;30/09/1998;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 10 milioni di lire;19,76;29,64
